date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:15	141/-1	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2015:17:16%20GMT	http://light.pinsupreme.com/robots.txt		(from )
16:17:15	59424/59424	---MCZ	200	added ('OK')	text/html	etag:W/%225df67d27-e820%22	http://light.pinsupreme.com/	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/index.html	(from )
16:17:16	1614/1614	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-64e%22	http://light.pinsupreme.com/favicon.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/favicon.png	(from http://light.pinsupreme.com/)
16:17:17	1614/1614	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-64e%22	http://light.pinsupreme.com/apple-touch-icon.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/apple-touch-icon.png	(from http://light.pinsupreme.com/)
16:17:19	7861/7861	---M-Z	200	added ('OK')	text/css	etag:%222403583283%22	http://fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.css	(from http://light.pinsupreme.com/)
16:17:19	14966/14966	---M--	200	added ('OK')	text/css	etag:%225df67d27-3a76%22	http://light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/select2/dist/css/select2.min.css	(from http://light.pinsupreme.com/)
16:17:21	8163/8163	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-1fe3%22	http://light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/bootstrap-daterangepicker/daterangepicker.css	(from http://light.pinsupreme.com/)
16:17:21	12587/12587	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-312b%22	http://light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/dropzone/dist/dropzone.css	(from http://light.pinsupreme.com/)
16:17:22	4188/4188	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-105c%22	http://light.pinsupreme.com/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	(from http://light.pinsupreme.com/)
16:17:22	16140/16140	---M--	200	added ('OK')	text/css	etag:%225df67d27-3f0c%22	http://light.pinsupreme.com/bower_components/fullcalendar/dist/fullcalendar.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/fullcalendar/dist/fullcalendar.min.css	(from http://light.pinsupreme.com/)
16:17:23	4412/4412	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-113c%22	http://light.pinsupreme.com/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	(from http://light.pinsupreme.com/)
16:17:24	1776/1776	---M--	200	added ('OK')	text/css	etag:%225cf0a9aa-6f0%22	http://light.pinsupreme.com/bower_components/slick-carousel/slick/slick.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/bower_components/slick-carousel/slick/slick.css	(from http://light.pinsupreme.com/)
16:17:28	688210/688210	---M--	200	added ('OK')	text/css	etag:%225df67d27-a8052%22	http://light.pinsupreme.com/css/main.css?version=4.5.0	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/css/main5739.css	(from http://light.pinsupreme.com/)
16:17:30	6521/6521	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-1979%22	http://light.pinsupreme.com/img/bigicon6.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/bigicon6.png	(from http://light.pinsupreme.com/)
16:17:31	16625/16625	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-40f1%22	http://light.pinsupreme.com/img/bigicon2.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/bigicon2.png	(from http://light.pinsupreme.com/)
16:17:31	24829/24829	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-60fd%22	http://light.pinsupreme.com/img/bigicon5.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/bigicon5.png	(from http://light.pinsupreme.com/)
16:17:31	45986/45986	---MCZ	200	added ('OK')	text/html	etag:W/%225df67d27-b3a2%22	http://light.pinsupreme.com/users_profile_big.html	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/users_profile_big.html	(from http://light.pinsupreme.com/)
16:17:33	9161/9161	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-23c9%22	http://light.pinsupreme.com/img/company7.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/company7.png	(from http://light.pinsupreme.com/)
16:17:33	17700/17700	---M--	200	added ('OK')	image/png	etag:%225cf0a9aa-4524%22	http://light.pinsupreme.com/img/company6.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/company6.png	(from http://light.pinsupreme.com/)
16:17:33	12531/12531	---M--	200	added ('OK')	image/jpeg	etag:%225df67d27-30f3%22	http://light.pinsupreme.com/img/avatar1.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB/light.pinsupreme.com/img/avatar1.jpg	(from http://light.pinsupreme.com/)
