date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:05	61871/61871	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:07%20GMT	https://onedigitalassetshub.com/index.php	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/index.html	(from )
16:27:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2015:27:08%20GMT	https://onedigitalassetshub.com/robots.txt		(from )
16:27:09	1312/1312	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/favicon.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/favicon.png	(from https://onedigitalassetshub.com/index.php)
16:27:13	121233/121233	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/css/bootstrap.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/css/bootstrap.min.css	(from https://onedigitalassetshub.com/index.php)
16:27:14	31023/31023	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/css/font-awesome.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/css/font-awesome.min.css	(from https://onedigitalassetshub.com/index.php)
16:27:15	9722/9722	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/css/magnific-popup.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/css/magnific-popup.css	(from https://onedigitalassetshub.com/index.php)
16:27:19	5592/5592	---M--	200	added ('OK')	text/css	date:Sun,%2017%20May%202020%2000:10:52%20GMT	https://onedigitalassetshub.com/css/skins/goldenrod-j=1589666624.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/css/skins/goldenrod-j=1589666624.css	(from https://onedigitalassetshub.com/index.php)
16:27:21	30117/30117	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/js/plugins/revolution/css/settings.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/js/plugins/revolution/css/settings.css	(from https://onedigitalassetshub.com/index.php)
16:27:23	145001/145001	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/css/style-ty=1589666624.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/css/style-ty=1589666624.css	(from https://onedigitalassetshub.com/index.php)
16:27:25	140793/140793	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/js/plugins/revolution/css/layers.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/js/plugins/revolution/css/layers.css	(from https://onedigitalassetshub.com/index.php)
